id_origin,id_destination,journeys,people
col_0_88_4_santiblanko,col_0_73_759_santiblanko,1,1
col_0_88_4_santiblanko,col_0_25_788_santiblanko,2,2
col_0_88_4_santiblanko,col_0_25_798_santiblanko,2,2
col_0_88_4_santiblanko,col_0_76_849_santiblanko,5,5
col_0_88_4_santiblanko,col_0_76_871_santiblanko,3,3
col_0_88_4_santiblanko,col_0_41_901_santiblanko,3,3
col_0_88_4_santiblanko,col_0_52_1053_santiblanko,1,1
col_0_44_5_santiblanko,col_0_44_2_santiblanko,9,9
col_0_44_5_santiblanko,col_0_44_5_santiblanko,223,203
col_0_44_5_santiblanko,col_0_44_6_santiblanko,15,15
col_0_44_5_santiblanko,col_0_44_7_santiblanko,14,13
col_0_44_5_santiblanko,col_0_47_9_santiblanko,8,8
col_0_44_5_santiblanko,col_0_44_10_santiblanko,8,8
col_0_44_5_santiblanko,col_0_44_11_santiblanko,6,6
col_0_44_5_santiblanko,col_0_47_12_santiblanko,5,5
col_0_44_5_santiblanko,col_0_44_17_santiblanko,4,4
col_0_44_5_santiblanko,col_0_44_18_santiblanko,3,3
col_0_44_5_santiblanko,col_0_20_25_santiblanko,8,8
col_0_44_5_santiblanko,col_0_11_726_santiblanko,6,6
col_0_44_5_santiblanko,col_0_44_1089_santiblanko,9,9
col_0_44_6_santiblanko,col_0_44_2_santiblanko,9,9
col_0_44_6_santiblanko,col_0_44_5_santiblanko,13,12
col_0_44_6_santiblanko,col_0_44_6_santiblanko,251,250
col_0_44_6_santiblanko,col_0_44_7_santiblanko,13,13
col_0_44_6_santiblanko,col_0_44_8_santiblanko,3,3
col_0_44_6_santiblanko,col_0_47_9_santiblanko,8,8
col_0_44_6_santiblanko,col_0_44_10_santiblanko,10,10
col_0_44_6_santiblanko,col_0_44_11_santiblanko,7,7
col_0_44_6_santiblanko,col_0_47_12_santiblanko,4,4
col_0_44_6_santiblanko,col_0_08_13_santiblanko,9,9
col_0_44_6_santiblanko,col_0_47_14_santiblanko,3,3
col_0_44_6_santiblanko,col_0_08_15_santiblanko,4,4
col_0_44_6_santiblanko,col_0_44_16_santiblanko,8,8
col_0_44_6_santiblanko,col_0_44_17_santiblanko,4,4
col_0_44_6_santiblanko,col_0_44_18_santiblanko,7,7
col_0_44_6_santiblanko,col_0_08_22_santiblanko,8,8
col_0_44_6_santiblanko,col_0_08_23_santiblanko,2,2
col_0_44_6_santiblanko,col_0_20_25_santiblanko,5,5
col_0_44_6_santiblanko,col_0_47_26_santiblanko,2,2
col_0_44_6_santiblanko,col_0_13_32_santiblanko,2,2
col_0_44_6_santiblanko,col_0_08_37_santiblanko,5,5
col_0_44_6_santiblanko,col_0_08_39_santiblanko,3,3
col_0_44_6_santiblanko,col_0_13_40_santiblanko,7,7
col_0_44_6_santiblanko,col_0_44_43_santiblanko,5,5
col_0_44_6_santiblanko,col_0_20_56_santiblanko,6,6
col_0_44_6_santiblanko,col_0_20_58_santiblanko,3,3
col_0_44_6_santiblanko,col_0_47_64_santiblanko,1,1
col_0_44_6_santiblanko,col_0_20_66_santiblanko,1,1
col_0_44_6_santiblanko,col_0_08_67_santiblanko,4,4
col_0_44_6_santiblanko,col_0_20_78_santiblanko,6,6
col_0_44_6_santiblanko,col_0_13_84_santiblanko,5,5
col_0_44_6_santiblanko,col_0_20_85_santiblanko,3,3
col_0_44_6_santiblanko,col_0_20_90_santiblanko,6,6
col_0_44_6_santiblanko,col_0_20_95_santiblanko,1,1
col_0_44_6_santiblanko,col_0_20_112_santiblanko,1,1
col_0_44_6_santiblanko,col_0_20_137_santiblanko,4,4
col_0_44_6_santiblanko,col_0_20_139_santiblanko,2,2
col_0_44_6_santiblanko,col_0_23_141_santiblanko,1,1
col_0_44_6_santiblanko,col_0_23_143_santiblanko,3,3
col_0_44_6_santiblanko,col_0_20_173_santiblanko,5,5
col_0_44_6_santiblanko,col_0_68_261_santiblanko,3,3
col_0_44_6_santiblanko,col_0_11_726_santiblanko,5,5
col_0_44_6_santiblanko,col_0_44_1088_santiblanko,1,1
col_0_44_6_santiblanko,col_0_44_1089_santiblanko,13,13
col_0_44_7_santiblanko,col_0_44_2_santiblanko,7,7
col_0_44_7_santiblanko,col_0_44_5_santiblanko,9,9
col_0_44_7_santiblanko,col_0_44_6_santiblanko,8,8
col_0_44_7_santiblanko,col_0_44_7_santiblanko,380,362
col_0_44_7_santiblanko,col_0_44_8_santiblanko,13,12
col_0_44_7_santiblanko,col_0_47_9_santiblanko,9,9
col_0_44_7_santiblanko,col_0_44_10_santiblanko,15,15
col_0_44_7_santiblanko,col_0_44_11_santiblanko,11,11
col_0_44_7_santiblanko,col_0_47_12_santiblanko,5,5
col_0_44_7_santiblanko,col_0_08_13_santiblanko,7,7
col_0_44_7_santiblanko,col_0_47_14_santiblanko,8,8
col_0_44_7_santiblanko,col_0_08_15_santiblanko,7,7
col_0_44_7_santiblanko,col_0_44_16_santiblanko,9,9
col_0_44_7_santiblanko,col_0_44_17_santiblanko,5,5
col_0_44_7_santiblanko,col_0_44_18_santiblanko,11,10
col_0_44_7_santiblanko,col_0_08_22_santiblanko,8,8
col_0_44_7_santiblanko,col_0_08_23_santiblanko,8,8
col_0_44_7_santiblanko,col_0_20_25_santiblanko,15,14
col_0_44_7_santiblanko,col_0_08_27_santiblanko,5,5
col_0_44_7_santiblanko,col_0_13_32_santiblanko,3,3
col_0_44_7_santiblanko,col_0_08_39_santiblanko,3,3
col_0_44_7_santiblanko,col_0_13_40_santiblanko,5,5
col_0_44_7_santiblanko,col_0_44_43_santiblanko,5,5
col_0_44_7_santiblanko,col_0_44_50_santiblanko,8,8
col_0_44_7_santiblanko,col_0_13_52_santiblanko,1,1
col_0_44_7_santiblanko,col_0_20_56_santiblanko,3,3
col_0_44_7_santiblanko,col_0_13_57_santiblanko,4,4
col_0_44_7_santiblanko,col_0_20_66_santiblanko,6,6
col_0_44_7_santiblanko,col_0_20_78_santiblanko,2,2
col_0_44_7_santiblanko,col_0_47_81_santiblanko,6,6
col_0_44_7_santiblanko,col_0_20_82_santiblanko,5,5
col_0_44_7_santiblanko,col_0_20_85_santiblanko,5,5
col_0_44_7_santiblanko,col_0_20_90_santiblanko,3,3
col_0_44_7_santiblanko,col_0_70_93_santiblanko,4,4
col_0_44_7_santiblanko,col_0_20_95_santiblanko,6,6
col_0_44_7_santiblanko,col_0_23_123_santiblanko,6,6
col_0_44_7_santiblanko,col_0_23_131_santiblanko,2,2
col_0_44_7_santiblanko,col_0_20_173_santiblanko,2,2
col_0_44_7_santiblanko,col_0_68_261_santiblanko,5,5
col_0_44_7_santiblanko,col_0_68_270_santiblanko,3,3
col_0_44_7_santiblanko,col_0_11_726_santiblanko,7,7
col_0_44_7_santiblanko,col_0_73_759_santiblanko,6,6
col_0_44_7_santiblanko,col_0_25_765_santiblanko,6,6
col_0_44_7_santiblanko,col_0_44_1088_santiblanko,7,7
col_0_44_7_santiblanko,col_0_44_1089_santiblanko,11,10
col_0_44_8_santiblanko,col_0_44_5_santiblanko,8,8
col_0_44_8_santiblanko,col_0_44_6_santiblanko,3,3
col_0_44_8_santiblanko,col_0_44_7_santiblanko,9,9
col_0_44_8_santiblanko,col_0_44_8_santiblanko,115,108
col_0_44_8_santiblanko,col_0_47_9_santiblanko,14,14
col_0_44_8_santiblanko,col_0_44_10_santiblanko,5,5
col_0_44_8_santiblanko,col_0_44_11_santiblanko,7,7
col_0_44_8_santiblanko,col_0_47_12_santiblanko,8,8
col_0_44_8_santiblanko,col_0_08_13_santiblanko,5,5
col_0_44_8_santiblanko,col_0_44_16_santiblanko,3,3
col_0_44_8_santiblanko,col_0_44_17_santiblanko,4,4
col_0_44_8_santiblanko,col_0_44_18_santiblanko,9,9
col_0_44_8_santiblanko,col_0_08_22_santiblanko,8,8
col_0_44_8_santiblanko,col_0_20_25_santiblanko,7,7
col_0_44_8_santiblanko,col_0_20_62_santiblanko,6,6
col_0_44_8_santiblanko,col_0_11_726_santiblanko,6,6
col_0_44_8_santiblanko,col_0_44_1089_santiblanko,4,4
col_0_47_9_santiblanko,col_0_44_2_santiblanko,6,6
col_0_47_9_santiblanko,col_0_44_5_santiblanko,7,7
col_0_47_9_santiblanko,col_0_44_6_santiblanko,6,6
col_0_47_9_santiblanko,col_0_44_7_santiblanko,9,9
col_0_47_9_santiblanko,col_0_44_8_santiblanko,14,14
col_0_47_9_santiblanko,col_0_47_9_santiblanko,619,567
col_0_47_9_santiblanko,col_0_44_10_santiblanko,5,5
col_0_47_9_santiblanko,col_0_44_11_santiblanko,4,4
col_0_47_9_santiblanko,col_0_47_12_santiblanko,22,20
col_0_47_9_santiblanko,col_0_08_13_santiblanko,19,18
col_0_47_9_santiblanko,col_0_47_14_santiblanko,16,15
col_0_47_9_santiblanko,col_0_08_15_santiblanko,6,6
col_0_47_9_santiblanko,col_0_44_17_santiblanko,5,5
col_0_47_9_santiblanko,col_0_44_18_santiblanko,8,8
col_0_47_9_santiblanko,col_0_47_19_santiblanko,6,6
col_0_47_9_santiblanko,col_0_08_20_santiblanko,5,5
col_0_47_9_santiblanko,col_0_08_21_santiblanko,8,8
col_0_47_9_santiblanko,col_0_08_22_santiblanko,15,15
col_0_47_9_santiblanko,col_0_08_23_santiblanko,12,12
col_0_47_9_santiblanko,col_0_08_24_santiblanko,5,5
col_0_47_9_santiblanko,col_0_20_25_santiblanko,14,14
col_0_47_9_santiblanko,col_0_47_26_santiblanko,16,15
col_0_47_9_santiblanko,col_0_08_27_santiblanko,8,8
col_0_47_9_santiblanko,col_0_08_28_santiblanko,6,6
col_0_47_9_santiblanko,col_0_08_31_santiblanko,2,2
col_0_47_9_santiblanko,col_0_13_32_santiblanko,6,6
col_0_47_9_santiblanko,col_0_08_33_santiblanko,5,5
col_0_47_9_santiblanko,col_0_08_37_santiblanko,8,8
col_0_47_9_santiblanko,col_0_08_38_santiblanko,8,8
col_0_47_9_santiblanko,col_0_08_39_santiblanko,8,8
col_0_47_9_santiblanko,col_0_13_40_santiblanko,9,9
col_0_47_9_santiblanko,col_0_20_41_santiblanko,11,10
col_0_47_9_santiblanko,col_0_47_42_santiblanko,8,8
col_0_47_9_santiblanko,col_0_44_43_santiblanko,7,7
col_0_47_9_santiblanko,col_0_47_45_santiblanko,9,9
col_0_47_9_santiblanko,col_0_13_46_santiblanko,7,7
col_0_47_9_santiblanko,col_0_13_52_santiblanko,3,3
col_0_47_9_santiblanko,col_0_47_54_santiblanko,3,3
col_0_47_9_santiblanko,col_0_20_56_santiblanko,8,8
col_0_47_9_santiblanko,col_0_20_62_santiblanko,10,10
col_0_47_9_santiblanko,col_0_47_64_santiblanko,5,5
col_0_47_9_santiblanko,col_0_20_66_santiblanko,7,7
col_0_47_9_santiblanko,col_0_08_67_santiblanko,2,2
col_0_47_9_santiblanko,col_0_20_73_santiblanko,9,9
col_0_47_9_santiblanko,col_0_13_76_santiblanko,8,8
col_0_47_9_santiblanko,col_0_20_78_santiblanko,7,7
col_0_47_9_santiblanko,col_0_47_79_santiblanko,7,7
col_0_47_9_santiblanko,col_0_47_80_santiblanko,3,3
col_0_47_9_santiblanko,col_0_47_81_santiblanko,3,3
col_0_47_9_santiblanko,col_0_20_85_santiblanko,4,4
col_0_47_9_santiblanko,col_0_70_89_santiblanko,6,6
col_0_47_9_santiblanko,col_0_20_90_santiblanko,7,7
col_0_47_9_santiblanko,col_0_20_95_santiblanko,5,5
col_0_47_9_santiblanko,col_0_20_96_santiblanko,7,7
col_0_47_9_santiblanko,col_0_70_99_santiblanko,7,7
col_0_47_9_santiblanko,col_0_70_100_santiblanko,4,4
col_0_47_9_santiblanko,col_0_13_103_santiblanko,9,9
col_0_47_9_santiblanko,col_0_70_107_santiblanko,8,8
col_0_47_9_santiblanko,col_0_20_112_santiblanko,3,3
col_0_47_9_santiblanko,col_0_47_115_santiblanko,7,7
col_0_47_9_santiblanko,col_0_23_117_santiblanko,8,8
col_0_47_9_santiblanko,col_0_70_126_santiblanko,6,6
col_0_47_9_santiblanko,col_0_20_137_santiblanko,6,6
col_0_47_9_santiblanko,col_0_20_139_santiblanko,5,5
col_0_47_9_santiblanko,col_0_23_141_santiblanko,2,2
col_0_47_9_santiblanko,col_0_23_147_santiblanko,6,6
col_0_47_9_santiblanko,col_0_20_152_santiblanko,4,4
col_0_47_9_santiblanko,col_0_20_161_santiblanko,3,3
col_0_47_9_santiblanko,col_0_23_171_santiblanko,7,7
col_0_47_9_santiblanko,col_0_20_173_santiblanko,3,3
col_0_47_9_santiblanko,col_0_54_183_santiblanko,9,9
col_0_47_9_santiblanko,col_0_54_184_santiblanko,3,3
col_0_47_9_santiblanko,col_0_20_191_santiblanko,3,3
col_0_47_9_santiblanko,col_0_54_194_santiblanko,3,3
col_0_47_9_santiblanko,col_0_23_197_santiblanko,3,3
col_0_47_9_santiblanko,col_0_23_200_santiblanko,5,5
col_0_47_9_santiblanko,col_0_20_203_santiblanko,5,5
col_0_47_9_santiblanko,col_0_20_207_santiblanko,2,2
col_0_47_9_santiblanko,col_0_54_218_santiblanko,1,1
col_0_47_9_santiblanko,col_0_68_225_santiblanko,3,3
col_0_47_9_santiblanko,col_0_68_228_santiblanko,5,5
col_0_47_9_santiblanko,col_0_68_233_santiblanko,6,6
col_0_47_9_santiblanko,col_0_68_256_santiblanko,5,5
col_0_47_9_santiblanko,col_0_68_261_santiblanko,4,4
col_0_47_9_santiblanko,col_0_68_262_santiblanko,5,5
col_0_47_9_santiblanko,col_0_68_268_santiblanko,7,7
col_0_47_9_santiblanko,col_0_68_270_santiblanko,2,2
col_0_47_9_santiblanko,col_0_68_289_santiblanko,3,3
col_0_47_9_santiblanko,col_0_68_295_santiblanko,6,6
col_0_47_9_santiblanko,col_0_05_304_santiblanko,3,3
col_0_47_9_santiblanko,col_0_68_305_santiblanko,3,3
col_0_47_9_santiblanko,col_0_68_313_santiblanko,2,2
col_0_47_9_santiblanko,col_0_05_334_santiblanko,1,1
col_0_47_9_santiblanko,col_0_05_369_santiblanko,1,1
col_0_47_9_santiblanko,col_0_05_381_santiblanko,6,6
col_0_47_9_santiblanko,col_0_05_394_santiblanko,3,3
col_0_47_9_santiblanko,col_0_15_405_santiblanko,2,2
col_0_47_9_santiblanko,col_0_05_409_santiblanko,4,4
col_0_47_9_santiblanko,col_0_05_414_santiblanko,5,5
col_0_47_9_santiblanko,col_0_05_415_santiblanko,3,3
col_0_47_9_santiblanko,col_0_15_444_santiblanko,5,5
col_0_47_9_santiblanko,col_0_25_503_santiblanko,3,3
col_0_47_9_santiblanko,col_0_25_585_santiblanko,5,5
col_0_47_9_santiblanko,col_0_25_663_santiblanko,4,4
col_0_47_9_santiblanko,col_0_25_687_santiblanko,6,6
col_0_47_9_santiblanko,col_0_25_694_santiblanko,1,1
col_0_47_9_santiblanko,col_0_25_711_santiblanko,6,6
col_0_47_9_santiblanko,col_0_66_713_santiblanko,6,6
col_0_47_9_santiblanko,col_0_11_726_santiblanko,6,6
col_0_47_9_santiblanko,col_0_25_730_santiblanko,4,4
col_0_47_9_santiblanko,col_0_25_736_santiblanko,6,6
col_0_47_9_santiblanko,col_0_25_739_santiblanko,4,4
col_0_47_9_santiblanko,col_0_73_759_santiblanko,7,7
col_0_47_9_santiblanko,col_0_25_765_santiblanko,3,3
col_0_47_9_santiblanko,col_0_25_783_santiblanko,5,5
col_0_47_9_santiblanko,col_0_25_794_santiblanko,3,3
col_0_47_9_santiblanko,col_0_76_839_santiblanko,6,6
col_0_47_9_santiblanko,col_0_76_849_santiblanko,5,5
col_0_47_9_santiblanko,col_0_76_871_santiblanko,7,7
col_0_47_9_santiblanko,col_0_76_879_santiblanko,5,5
col_0_47_9_santiblanko,col_0_76_882_santiblanko,3,3
col_0_47_9_santiblanko,col_0_76_894_santiblanko,1,1
col_0_47_9_santiblanko,col_0_41_901_santiblanko,1,1
col_0_47_9_santiblanko,col_0_19_944_santiblanko,6,6
col_0_47_9_santiblanko,col_0_52_1027_santiblanko,2,2
col_0_47_9_santiblanko,col_0_44_1088_santiblanko,5,5
col_0_47_9_santiblanko,col_0_44_1089_santiblanko,5,5
col_0_47_9_santiblanko,col_0_47_1090_santiblanko,20,19
col_0_47_9_santiblanko,col_0_47_1091_santiblanko,6,6
col_0_47_9_santiblanko,col_0_47_1092_santiblanko,3,3
col_0_47_9_santiblanko,col_0_47_1095_santiblanko,7,7
col_0_44_10_santiblanko,col_0_44_2_santiblanko,7,7
col_0_44_10_santiblanko,col_0_44_5_santiblanko,9,9
col_0_44_10_santiblanko,col_0_44_6_santiblanko,6,6
col_0_44_10_santiblanko,col_0_44_7_santiblanko,11,11
col_0_44_10_santiblanko,col_0_44_8_santiblanko,5,5
col_0_44_10_santiblanko,col_0_47_9_santiblanko,8,8
col_0_44_10_santiblanko,col_0_44_10_santiblanko,89,82
col_0_44_10_santiblanko,col_0_44_11_santiblanko,10,10
col_0_44_10_santiblanko,col_0_08_13_santiblanko,3,3
col_0_44_10_santiblanko,col_0_47_14_santiblanko,2,2
col_0_44_10_santiblanko,col_0_44_16_santiblanko,4,4
col_0_44_10_santiblanko,col_0_44_17_santiblanko,6,6
col_0_44_10_santiblanko,col_0_44_18_santiblanko,5,5
col_0_44_10_santiblanko,col_0_08_22_santiblanko,5,5
col_0_44_10_santiblanko,col_0_08_23_santiblanko,1,1
col_0_44_10_santiblanko,col_0_20_25_santiblanko,8,8
col_0_44_10_santiblanko,col_0_13_40_santiblanko,5,5
col_0_44_10_santiblanko,col_0_44_43_santiblanko,2,2
col_0_44_10_santiblanko,col_0_44_50_santiblanko,2,2
col_0_44_10_santiblanko,col_0_20_56_santiblanko,2,2
col_0_44_10_santiblanko,col_0_20_58_santiblanko,2,2
col_0_44_10_santiblanko,col_0_20_82_santiblanko,1,1
col_0_44_10_santiblanko,col_0_20_85_santiblanko,3,3
col_0_44_10_santiblanko,col_0_20_90_santiblanko,6,6
col_0_44_10_santiblanko,col_0_44_1088_santiblanko,4,4
col_0_44_10_santiblanko,col_0_44_1089_santiblanko,8,8
col_0_44_11_santiblanko,col_0_44_2_santiblanko,7,7
col_0_44_11_santiblanko,col_0_44_5_santiblanko,8,8
col_0_44_11_santiblanko,col_0_44_6_santiblanko,5,5
col_0_44_11_santiblanko,col_0_44_7_santiblanko,15,14
col_0_44_11_santiblanko,col_0_44_8_santiblanko,5,5
col_0_44_11_santiblanko,col_0_47_9_santiblanko,8,8
col_0_44_11_santiblanko,col_0_44_10_santiblanko,11,10
col_0_44_11_santiblanko,col_0_44_11_santiblanko,133,128
col_0_44_11_santiblanko,col_0_08_13_santiblanko,8,8
col_0_44_11_santiblanko,col_0_47_14_santiblanko,8,8
col_0_44_11_santiblanko,col_0_44_16_santiblanko,10,10
col_0_44_11_santiblanko,col_0_44_17_santiblanko,7,7
col_0_44_11_santiblanko,col_0_44_18_santiblanko,7,7
col_0_44_11_santiblanko,col_0_20_25_santiblanko,8,8
col_0_44_11_santiblanko,col_0_13_40_santiblanko,8,8
col_0_44_11_santiblanko,col_0_44_43_santiblanko,7,7
col_0_44_11_santiblanko,col_0_44_50_santiblanko,5,5
col_0_44_11_santiblanko,col_0_20_56_santiblanko,7,7
col_0_44_11_santiblanko,col_0_20_66_santiblanko,6,6
col_0_44_11_santiblanko,col_0_47_72_santiblanko,4,4
col_0_44_11_santiblanko,col_0_20_78_santiblanko,6,6
col_0_44_11_santiblanko,col_0_20_82_santiblanko,4,4
col_0_44_11_santiblanko,col_0_20_85_santiblanko,6,6
col_0_44_11_santiblanko,col_0_47_102_santiblanko,1,1
col_0_44_11_santiblanko,col_0_47_115_santiblanko,6,6
col_0_44_11_santiblanko,col_0_20_137_santiblanko,1,1
col_0_44_11_santiblanko,col_0_20_139_santiblanko,4,4
col_0_44_11_santiblanko,col_0_15_405_santiblanko,2,2
col_0_44_11_santiblanko,col_0_44_1088_santiblanko,5,5
col_0_44_11_santiblanko,col_0_44_1089_santiblanko,7,7
col_0_44_11_santiblanko,col_0_70_1108_santiblanko,2,2
col_0_47_12_santiblanko,col_0_44_6_santiblanko,3,3
col_0_47_12_santiblanko,col_0_44_7_santiblanko,7,7
col_0_47_12_santiblanko,col_0_44_8_santiblanko,5,5
col_0_47_12_santiblanko,col_0_47_9_santiblanko,22,22
col_0_47_12_santiblanko,col_0_44_11_santiblanko,5,5
col_0_47_12_santiblanko,col_0_47_12_santiblanko,189,180
col_0_47_12_santiblanko,col_0_08_13_santiblanko,14,13
col_0_47_12_santiblanko,col_0_47_14_santiblanko,13,12
col_0_47_12_santiblanko,col_0_08_15_santiblanko,9,9
col_0_47_12_santiblanko,col_0_47_19_santiblanko,6,6
col_0_47_12_santiblanko,col_0_08_20_santiblanko,4,4
col_0_47_12_santiblanko,col_0_08_21_santiblanko,7,7
col_0_47_12_santiblanko,col_0_08_22_santiblanko,9,9
col_0_47_12_santiblanko,col_0_20_25_santiblanko,8,8
col_0_47_12_santiblanko,col_0_47_26_santiblanko,14,13
col_0_47_12_santiblanko,col_0_08_28_santiblanko,6,6
col_0_47_12_santiblanko,col_0_13_32_santiblanko,4,4
col_0_47_12_santiblanko,col_0_08_37_santiblanko,5,5
col_0_47_12_santiblanko,col_0_13_40_santiblanko,8,8
col_0_47_12_santiblanko,col_0_20_41_santiblanko,5,5
col_0_47_12_santiblanko,col_0_47_42_santiblanko,5,5
col_0_47_12_santiblanko,col_0_47_45_santiblanko,5,5
col_0_47_12_santiblanko,col_0_13_46_santiblanko,2,2
col_0_47_12_santiblanko,col_0_13_52_santiblanko,5,5
col_0_47_12_santiblanko,col_0_20_56_santiblanko,3,3
col_0_47_12_santiblanko,col_0_20_62_santiblanko,5,5
col_0_47_12_santiblanko,col_0_20_73_santiblanko,2,2
col_0_47_12_santiblanko,col_0_20_78_santiblanko,3,3
col_0_47_12_santiblanko,col_0_47_80_santiblanko,7,7
col_0_47_12_santiblanko,col_0_47_81_santiblanko,5,5
col_0_47_12_santiblanko,col_0_13_84_santiblanko,3,3
col_0_47_12_santiblanko,col_0_20_85_santiblanko,3,3
col_0_47_12_santiblanko,col_0_20_90_santiblanko,4,4
col_0_47_12_santiblanko,col_0_20_95_santiblanko,1,1
col_0_47_12_santiblanko,col_0_20_98_santiblanko,4,4
col_0_47_12_santiblanko,col_0_20_112_santiblanko,4,4
col_0_47_12_santiblanko,col_0_47_115_santiblanko,3,3
col_0_47_12_santiblanko,col_0_20_137_santiblanko,3,3
col_0_47_12_santiblanko,col_0_20_139_santiblanko,4,4
col_0_47_12_santiblanko,col_0_23_149_santiblanko,7,7
col_0_47_12_santiblanko,col_0_20_161_santiblanko,6,6
col_0_47_12_santiblanko,col_0_20_173_santiblanko,2,2
col_0_47_12_santiblanko,col_0_20_207_santiblanko,3,3
col_0_47_12_santiblanko,col_0_54_218_santiblanko,1,1
col_0_47_12_santiblanko,col_0_68_228_santiblanko,1,1
col_0_47_12_santiblanko,col_0_54_229_santiblanko,5,5
col_0_47_12_santiblanko,col_0_68_261_santiblanko,7,7
col_0_47_12_santiblanko,col_0_68_262_santiblanko,6,6
col_0_47_12_santiblanko,col_0_05_409_santiblanko,4,4
col_0_47_12_santiblanko,col_0_11_726_santiblanko,4,4
col_0_47_12_santiblanko,col_0_44_1088_santiblanko,4,4
col_0_47_12_santiblanko,col_0_44_1089_santiblanko,4,4
col_0_47_12_santiblanko,col_0_47_1090_santiblanko,19,18
col_0_08_13_santiblanko,col_0_88_4_santiblanko,2,2
col_0_08_13_santiblanko,col_0_44_5_santiblanko,4,4
col_0_08_13_santiblanko,col_0_44_6_santiblanko,4,4
col_0_08_13_santiblanko,col_0_44_7_santiblanko,9,9
col_0_08_13_santiblanko,col_0_44_8_santiblanko,5,5
col_0_08_13_santiblanko,col_0_47_9_santiblanko,23,21
col_0_08_13_santiblanko,col_0_44_10_santiblanko,7,7
col_0_08_13_santiblanko,col_0_44_11_santiblanko,7,7
col_0_08_13_santiblanko,col_0_47_12_santiblanko,15,15
col_0_08_13_santiblanko,col_0_08_13_santiblanko,916,902
col_0_08_13_santiblanko,col_0_47_14_santiblanko,56,52
col_0_08_13_santiblanko,col_0_08_15_santiblanko,78,71
col_0_08_13_santiblanko,col_0_44_16_santiblanko,8,8
col_0_08_13_santiblanko,col_0_44_17_santiblanko,2,2
col_0_08_13_santiblanko,col_0_08_20_santiblanko,24,22
col_0_08_13_santiblanko,col_0_08_21_santiblanko,56,52
col_0_08_13_santiblanko,col_0_08_22_santiblanko,107,106
col_0_08_13_santiblanko,col_0_08_23_santiblanko,47,46
col_0_08_13_santiblanko,col_0_08_24_santiblanko,14,14
col_0_08_13_santiblanko,col_0_20_25_santiblanko,11,11
col_0_08_13_santiblanko,col_0_47_26_santiblanko,12,11
col_0_08_13_santiblanko,col_0_08_27_santiblanko,32,31
col_0_08_13_santiblanko,col_0_08_28_santiblanko,27,26
col_0_08_13_santiblanko,col_0_08_29_santiblanko,18,17
col_0_08_13_santiblanko,col_0_08_30_santiblanko,7,7
col_0_08_13_santiblanko,col_0_08_31_santiblanko,17,16
col_0_08_13_santiblanko,col_0_13_32_santiblanko,12,11
col_0_08_13_santiblanko,col_0_08_33_santiblanko,17,16
col_0_08_13_santiblanko,col_0_08_37_santiblanko,22,21
col_0_08_13_santiblanko,col_0_08_38_santiblanko,17,16
col_0_08_13_santiblanko,col_0_08_39_santiblanko,13,12
col_0_08_13_santiblanko,col_0_13_40_santiblanko,22,22
col_0_08_13_santiblanko,col_0_20_41_santiblanko,7,7
col_0_08_13_santiblanko,col_0_47_42_santiblanko,13,12
col_0_08_13_santiblanko,col_0_44_43_santiblanko,8,8
col_0_08_13_santiblanko,col_0_47_45_santiblanko,8,8
